Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:02:03 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=63
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	63	1.0000000
2	22	0.8000000
3	60	0.8333333
4	71	0.7500000
5	50	0.6956522
6	62	0.5555556
7	65	0.5172414
8	72	0.5312500
9	70	0.5384616
10	77	0.5365854
11	45	0.5000000
12	2	0.4727273
13	8	0.4745763
14	42	0.4202898
15	5	0.4084507
16	23	0.3974359
17	74	0.4285714
18	25	0.4200000
19	35	0.3727273
20	88	0.3716814
21	86	0.3684210
22	82	0.3666667
23	75	0.3285714
24	80	0.3239437
25	127	0.2830189
26	67	0.2812500
27	69	0.2732919
28	83	0.2500000
29	92	0.2413793
30	107	0.2430939
31	3	0.2551020
32	76	0.2574258
33	32	0.2561576
34	34	0.2596154
35	85	0.2547170
36	11	0.2511628
37	95	0.2545455
38	56	0.2606838
39	123	0.2449799
40	91	0.2450593
41	87	0.2431373
42	119	0.2583026
43	49	0.2681159
44	51	0.2688172
45	66	0.2474576
46	46	0.2268371
47	61	0.2236025
48	38	0.2354839
49	54	0.2343234
50	12	0.2400000
51	58	0.2356902
52	53	0.2278912
53	37	0.2260274
54	129	0.2268041
55	36	0.2241379
56	15	0.2222222
	Global minimun!!!
	First local minimun!!!
57	44	0.2410072
58	4	0.2573529
59	96	0.2602231
60	79	0.2641509
61	27	0.2801556
62	55	0.2812500
63	108	0.2823530
64	112	0.2788845
65	81	0.2822581
66	105	0.2857143
67	117	0.2868852
68	57	0.2833333
69	73	0.2832618
70	110	0.2844445
71	48	0.2850679
72	39	0.2889908
73	29	0.3233831
74	41	0.3250000
75	120	0.3385417
76	124	0.3439153
77	113	0.3535912
78	18	0.3536585
79	68	0.3478261
80	98	0.3312102
81	20	0.3489933
82	13	0.3517241
83	14	0.3760000
84	30	0.3821138
85	93	0.3813559
86	109	0.3846154
87	19	0.3793103
88	125	0.3739130
89	116	0.3727273
90	59	0.3980583
91	17	0.3921569
92	126	0.3800000
93	9	0.3711340
94	0	0.3913043
95	103	0.3932584
96	6	0.4320988
97	99	0.4250000
98	16	0.4177215
99	121	0.4729730
100	97	0.6296296
101	21	0.6226415
102	1	0.6122449
103	10	0.5454546
104	90	0.6538461
105	31	0.6400000
106	100	0.6086956
107	104	0.6666667
108	89	0.6875000
109	7	0.6428571
110	102	0.4444444
111	33	0.5714286
112	26	0.2500000
113	101	0.5000000
114	52	1.0000000
115	111	1.0000000
Size of Cluster: 56.

run time: 0.19s (20:02:03)
