Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:04:27 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=8
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	8	1.0000000
2	82	0.8000000
3	22	0.8000000
4	91	0.7619048
5	70	0.7000000
6	119	0.7291667
7	63	0.6730769
8	107	0.6507937
9	65	0.6060606
10	117	0.5970149
11	76	0.5890411
12	86	0.5866666
13	124	0.5769231
14	87	0.5679013
15	72	0.5714286
16	68	0.5434783
17	95	0.5257732
18	85	0.5242718
19	125	0.5192308
20	60	0.5294118
21	74	0.5395684
22	25	0.5390071
23	18	0.5031447
24	96	0.5061728
25	112	0.5116279
26	23	0.4944444
27	120	0.4867725
28	75	0.4593301
29	39	0.4528302
30	29	0.4323144
31	61	0.4338843
32	42	0.4212599
33	83	0.4150943
34	35	0.3854545
35	113	0.3750000
36	71	0.3737024
37	77	0.3676976
38	38	0.3795379
39	79	0.3778502
40	90	0.3789809
41	50	0.3753943
42	105	0.3750000
43	17	0.3738318
44	127	0.3343195
45	62	0.3255814
46	58	0.3256484
47	69	0.3247126
48	67	0.3209169
49	88	0.3181818
50	32	0.3144476
51	48	0.3100559
52	45	0.2989130
53	2	0.2804233
	Global minimun!!!
	First local minimun!!!
54	66	0.3160763
55	27	0.3203343
56	55	0.3230337
57	108	0.3239437
58	19	0.3248588
59	30	0.3333333
60	114	0.3342857
61	93	0.3401163
62	110	0.3413174
63	3	0.3510972
64	123	0.3597360
65	80	0.3621262
66	14	0.3879004
67	37	0.3835126
68	56	0.3587786
69	73	0.3607843
70	36	0.3622047
71	49	0.3709677
72	116	0.3719008
73	99	0.3734440
74	57	0.3855932
75	34	0.3722944
76	126	0.3668122
77	92	0.3672566
78	98	0.3603604
79	81	0.3561644
80	12	0.3518519
81	109	0.3488372
82	103	0.3490566
83	44	0.3366337
84	111	0.3400000
85	102	0.3556701
86	46	0.3563218
87	101	0.3546512
88	33	0.3647059
89	53	0.3532934
90	20	0.3544304
91	51	0.3548387
92	104	0.3464052
93	115	0.3557047
94	89	0.3732394
95	54	0.3629630
96	100	0.3636364
97	97	0.3603604
98	26	0.3518519
99	52	0.3457944
100	5	0.3461539
101	9	0.3564357
102	4	0.4042553
103	59	0.4000000
104	129	0.4047619
105	121	0.3974359
106	21	0.4025974
107	15	0.4054054
108	118	0.3888889
109	11	0.4393939
110	10	0.5000000
111	41	0.5106383
112	31	0.5000000
113	13	0.5365854
114	6	0.7037037
115	1	0.7777778
116	16	0.8571429
117	0	1.0000000
118	94	1.0000000
119	7	1.0000000
Size of Cluster: 53.

run time: 0.19s (20:04:27)
