Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 20:10:58 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=9
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	9	1.0000000
2	31	0.7500000
3	59	0.6000000
4	1	0.5454546
5	0	0.4166667
	First local minimun!!!
6	14	0.6551724
7	38	0.6153846
8	58	0.5952381
9	89	0.6086956
10	54	0.5925926
11	19	0.5818182
12	17	0.5714286
13	37	0.5517241
14	97	0.5584416
15	46	0.5578948
16	93	0.5400000
17	29	0.4957265
18	65	0.4873950
19	48	0.4836065
20	10	0.4370371
21	119	0.4557823
22	107	0.4415585
23	18	0.3976608
24	90	0.3806818
25	102	0.3728814
26	26	0.3611111
27	68	0.3387978
28	3	0.3350254
29	33	0.3216080
30	76	0.3137255
31	91	0.3043478
32	124	0.2966507
33	96	0.2830189
34	5	0.2803738
35	12	0.2857143
36	44	0.2844445
37	20	0.2918455
38	125	0.2863248
39	8	0.2796610
40	49	0.2791667
41	121	0.2693878
42	7	0.2682927
43	53	0.2610442
44	41	0.2600000
45	32	0.2589642
46	6	0.2471042
47	30	0.2413793
48	112	0.2386364
49	36	0.2377359
50	66	0.2377359
51	95	0.2346154
52	39	0.2373541
53	73	0.2400000
54	51	0.2419355
55	16	0.2388664
56	27	0.2301255
57	100	0.2320675
58	34	0.2297872
59	21	0.2264957
	Global minimun!!!
60	123	0.2342342
61	25	0.2352941
62	13	0.2374429
63	71	0.2385321
64	88	0.2372093
65	56	0.2487562
66	79	0.2525252
67	4	0.2487047
68	82	0.2539683
69	15	0.2513369
70	103	0.2540540
71	98	0.2582418
72	70	0.2625698
73	113	0.2471264
74	57	0.2588235
75	61	0.2547771
76	129	0.2500000
77	45	0.2857143
78	11	0.2965517
79	92	0.3076923
80	81	0.3000000
81	83	0.3230769
82	72	0.3385827
83	42	0.3613445
84	75	0.4215686
85	110	0.4315789
86	127	0.5000000
87	60	0.5735294
88	74	0.5686275
89	35	0.5116279
90	108	0.5238096
91	2	0.4871795
92	50	0.4722222
93	86	0.4571429
94	120	0.5333334
95	22	0.5357143
96	85	0.5416667
97	63	0.5217391
98	62	0.5238096
99	23	0.5000000
100	116	0.6000000
101	126	0.5000000
102	101	0.4285714
103	77	0.4000000
104	80	0.2500000
105	105	0.5000000
106	55	1.0000000
107	87	1.0000000
Size of Cluster: 5.

run time: 0.19s (20:10:58)
