Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:57:14 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=50
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	50	1.0000000
2	62	0.7500000
3	60	0.6923077
4	45	0.5238096
5	5	0.4545455
6	2	0.3600000
7	42	0.2500000
8	77	0.2424242
	First local minimun!!!
9	35	0.2926829
10	23	0.3260870
11	88	0.3400000
12	82	0.3703704
13	56	0.4558823
14	74	0.4883721
15	127	0.4400000
16	75	0.3644068
17	116	0.3613445
18	122	0.3500000
19	3	0.3282443
20	86	0.3181818
21	107	0.3333333
22	22	0.3309352
23	72	0.3028169
24	32	0.2986111
25	108	0.2965517
26	92	0.2857143
27	11	0.2751678
28	8	0.2715232
29	120	0.2614379
30	83	0.2530864
31	119	0.2543353
32	4	0.2500000
33	46	0.2406417
34	66	0.2300000
35	85	0.2315271
36	34	0.2243902
37	70	0.2211538
38	79	0.2132701
39	58	0.2056075
40	123	0.1991150
41	12	0.2052402
42	112	0.1939655
	Global minimun!!!
43	33	0.1957447
44	36	0.1949152
45	61	0.2098214
46	113	0.2146119
47	49	0.2119816
48	76	0.2227488
49	27	0.2512315
50	38	0.2653061
51	44	0.2765957
52	110	0.2747253
53	68	0.2849162
54	96	0.2954545
55	129	0.2971429
56	39	0.3023256
57	13	0.2982456
58	15	0.2958580
59	95	0.2987805
60	54	0.3125000
61	81	0.3184713
62	73	0.3154362
63	20	0.3146853
64	18	0.3359375
65	103	0.3333333
66	30	0.3387097
67	57	0.3416667
68	90	0.3652174
69	98	0.3571429
70	29	0.4315789
71	14	0.4556962
72	48	0.4415585
73	91	0.4189189
74	121	0.4571429
75	100	0.4558823
76	26	0.4769231
77	105	0.4920635
78	93	0.5000000
79	51	0.5178571
80	19	0.5090909
81	59	0.5800000
82	6	0.6444445
83	124	0.6590909
84	125	0.6511628
85	97	0.7916667
86	21	0.7826087
87	9	0.8000000
88	102	0.7894737
89	89	0.8125000
90	10	0.6666667
91	31	0.6000000
92	55	0.7500000
93	7	0.6666667
94	87	0.5000000
95	0	1.0000000
96	1	1.0000000
Size of Cluster: 8.

run time: 0.19s (19:57:14)
