Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:56:00 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=7
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	7	1.0000000
2	6	0.8333333
3	21	0.7142857
4	10	0.7058824
5	30	0.6315789
6	26	0.6190476
7	33	0.5909091
8	97	0.5121951
9	89	0.4772727
10	121	0.4375000
11	73	0.4821429
12	102	0.4736842
13	51	0.4666667
14	14	0.4800000
15	90	0.4375000
16	93	0.4285714
17	18	0.4361702
18	29	0.3944954
19	19	0.3818182
20	100	0.3750000
21	38	0.3504274
22	124	0.3474576
23	125	0.3361345
24	54	0.3252032
25	44	0.3129771
26	68	0.3059702
27	27	0.2907801
28	96	0.2847222
29	20	0.2933333
30	9	0.2857143
31	49	0.2911392
32	39	0.2795031
33	59	0.2710843
34	32	0.2694611
35	119	0.2528090
36	57	0.2582418
37	31	0.2513661
38	12	0.2473118
39	61	0.2574258
40	48	0.2549020
41	91	0.2512077
42	107	0.2358491
43	103	0.2336449
44	79	0.2350230
45	112	0.2272727
46	81	0.2197309
47	98	0.2079646
48	0	0.2070485
49	1	0.2017544
50	95	0.2017167
51	88	0.1949152
52	83	0.1910569
	Global minimun!!!
	First local minimun!!!
53	4	0.1934156
54	53	0.1942149
55	76	0.2103004
56	36	0.2112069
57	113	0.2158590
58	13	0.2168142
59	46	0.2465116
60	8	0.2511848
61	110	0.2487805
62	15	0.2561576
63	123	0.2722513
64	58	0.2698413
65	66	0.2742857
66	82	0.2901235
67	70	0.2774194
68	129	0.2727273
69	3	0.3076923
70	34	0.2978723
71	2	0.3211679
72	35	0.3750000
73	85	0.3870968
74	75	0.4411765
75	56	0.4431818
76	127	0.5068493
77	74	0.4905660
78	92	0.4705882
79	11	0.4489796
80	120	0.4468085
81	72	0.4318182
82	86	0.4186046
83	42	0.4722222
84	108	0.4571429
85	23	0.4333333
86	22	0.4137931
87	60	0.6000000
88	122	0.6315789
89	116	0.6111111
90	45	0.6000000
91	105	0.7500000
92	77	0.7142857
93	50	0.7500000
94	5	0.6666667
95	62	0.5000000
96	87	1.0000000
97	55	1.0000000
Size of Cluster: 52.

run time: 0.17s (19:56:00)
