Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 19:02:46 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=93
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	93	1.0000000
2	97	0.8695652
3	29	0.7500000
4	76	0.6904762
5	38	0.6666667
6	26	0.6400000
7	19	0.6274510
8	102	0.6153846
9	91	0.5925926
10	10	0.5000000
11	44	0.5138889
12	33	0.5000000
13	14	0.3750000
14	96	0.3516484
15	121	0.3368421
16	90	0.3200000
17	32	0.3137255
18	89	0.2952381
19	51	0.2897196
20	95	0.2767857
21	7	0.2743363
22	100	0.2695652
23	17	0.2672414
24	6	0.2644628
25	88	0.2560000
26	12	0.2500000
27	119	0.2661870
28	70	0.2708333
29	57	0.2770270
30	107	0.2727273
31	27	0.2795031
32	81	0.2743903
33	68	0.2694611
34	73	0.2628571
35	20	0.2651934
36	18	0.2239583
37	112	0.2205128
38	83	0.2097561
39	21	0.2087379
40	79	0.2057416
41	39	0.1933962
42	8	0.1860465
43	58	0.1880734
44	103	0.1863636
45	54	0.1830357
46	98	0.1762114
47	125	0.1754386
48	124	0.1703057
49	4	0.1681034
	Global minimun!!!
	First local minimun!!!
50	61	0.1850220
51	48	0.1822222
52	82	0.1735160
53	30	0.1751152
54	123	0.2048780
55	75	0.2566845
56	113	0.2527473
57	15	0.2500000
58	3	0.2882353
59	59	0.3012048
60	129	0.2969697
61	13	0.2987805
62	110	0.2974684
63	74	0.3357143
64	36	0.3381295
65	66	0.3600000
66	46	0.3859649
67	86	0.3805310
68	127	0.4081633
69	34	0.3958333
70	35	0.3863636
71	72	0.3764706
72	85	0.3703704
73	49	0.3589744
74	92	0.3421053
75	11	0.3243243
76	9	0.3287671
77	0	0.3333333
78	31	0.3239437
79	1	0.3142857
80	22	0.3043478
81	23	0.2812500
82	53	0.2698413
83	56	0.2448980
84	42	0.3095238
85	60	0.4545455
86	77	0.4375000
87	45	0.4800000
88	108	0.5000000
89	2	0.4285714
90	105	0.4736842
91	50	0.4375000
92	122	0.4666667
93	120	0.7000000
94	5	0.6666667
95	62	0.6250000
96	116	0.7500000
97	101	0.6666667
98	126	0.5000000
99	87	1.0000000
100	55	1.0000000
Size of Cluster: 49.

run time: 0.19s (19:02:46)
