Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 18:29:30 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=12
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	12	1.0000000
2	88	0.7500000
3	32	0.6000000
4	27	0.6666667
5	44	0.6315789
6	14	0.6666667
7	39	0.6363636
8	73	0.5750000
9	29	0.5686275
10	93	0.5454546
11	83	0.4920635
12	97	0.4285714
13	18	0.4022988
14	98	0.4000000
15	6	0.3763441
16	10	0.3069307
17	26	0.2912621
18	33	0.2788461
19	125	0.2761905
20	124	0.2641509
21	38	0.2500000
22	91	0.2456140
23	76	0.2416667
24	48	0.2377049
25	68	0.2320000
26	51	0.2283465
27	119	0.2189781
28	89	0.2158273
29	107	0.1931034
30	90	0.1849315
31	95	0.1788079
32	121	0.1764706
33	57	0.1783440
34	54	0.1750000
35	70	0.1656442
36	81	0.1575758
37	20	0.1607143
38	96	0.1588235
39	8	0.1511628
	Global minimun!!!
	First local minimun!!!
40	61	0.1695906
41	110	0.1676647
42	75	0.2416107
43	15	0.2432432
44	123	0.2589928
45	13	0.2536232
46	82	0.2537313
47	112	0.2575758
48	79	0.2635659
49	58	0.2777778
50	35	0.3135593
51	42	0.3103448
52	3	0.3773585
53	59	0.3883495
54	4	0.4000000
55	86	0.4040404
56	127	0.5058824
57	74	0.4558823
58	85	0.4545455
59	72	0.4375000
60	66	0.4901961
61	34	0.4693878
62	56	0.4750000
63	23	0.4571429
64	46	0.4400000
65	11	0.3913043
66	92	0.3333333
67	9	0.3500000
68	31	0.3157895
69	49	0.2941177
70	120	0.3125000
71	113	0.2666667
72	30	0.2142857
73	60	0.5555556
74	77	0.5000000
75	50	0.6666667
76	45	1.0000000
77	2	1.0000000
78	5	1.0000000
Size of Cluster: 39.

run time: 0.17s (18:29:31)
