Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:22:59 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=51
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	51	1.0000000
2	57	0.8333333
3	10	0.8333333
4	26	0.7692308
5	81	0.6666667
6	97	0.5185185
7	61	0.5263158
8	98	0.5121951
9	121	0.4883721
10	6	0.4565217
11	89	0.4375000
12	13	0.4285714
13	93	0.4150943
14	29	0.3809524
15	110	0.3432836
16	44	0.3380282
17	32	0.3333333
18	38	0.3376623
19	14	0.2906977
20	88	0.2840909
21	73	0.2795699
22	48	0.2736842
23	12	0.2577319
24	27	0.2277228
25	91	0.2233010
26	39	0.2190476
27	85	0.2149533
28	82	0.2252252
29	76	0.2222222
30	79	0.2268908
31	54	0.2295082
32	18	0.2230769
33	95	0.2148148
34	107	0.2086331
35	96	0.2056738
36	119	0.1733333
37	4	0.1699346
38	68	0.1600000
	Global minimun!!!
	First local minimun!!!
39	66	0.2101449
40	8	0.1985294
41	90	0.1925926
42	125	0.1940299
43	124	0.1879699
44	59	0.2000000
45	20	0.2125984
46	70	0.2177419
47	123	0.2241379
48	34	0.2192982
49	3	0.2596154
50	74	0.3595506
51	56	0.3875000
52	15	0.3797468
53	83	0.4324324
54	75	0.4237288
55	49	0.4310345
56	31	0.4385965
57	9	0.4285714
58	72	0.4074074
59	86	0.3962264
60	58	0.4117647
61	46	0.4390244
62	127	0.5000000
63	35	0.3913043
64	23	0.4000000
65	120	0.4210526
66	113	0.3888889
67	92	0.3125000
68	11	0.2307692
69	77	0.2500000
70	60	0.5714286
71	5	0.6000000
72	45	1.0000000
73	50	1.0000000
74	2	1.0000000
Size of Cluster: 38.

run time: 0.19s (17:22:59)
