Local motif clustering. build: 12:03:51, Jun 24 2019. Time: 17:25:13 [Mar 27 2019]
==================================================================================
Directed graph? (-d:)=Yes
Input graph file (-i:)=/home/dhh/soltesz-lab/losonczy-ca3-collab/v2-3232021/graph.txt
Motif type (-m:)=m5
Seed (-s:)=113
alpha (-a:)=0.98
eps (-e:)=0.0001
Size	NodeId	Conductance
1	113	1.0000000
2	120	0.5000000
	First local minimun!!!
3	56	0.7272727
4	58	0.6923077
5	66	0.6800000
6	46	0.5555556
7	3	0.4565217
8	49	0.4166667
9	34	0.3800000
10	30	0.3529412
11	123	0.3389831
12	72	0.3278688
13	15	0.3225806
14	20	0.2923077
15	75	0.3414634
16	11	0.3411765
17	92	0.3448276
18	59	0.3516484
19	86	0.3478261
20	61	0.3653846
21	127	0.3504274
22	74	0.2556391
23	95	0.2536232
24	54	0.2482270
25	35	0.2191781
26	0	0.2176871
27	9	0.2162162
28	1	0.2080537
29	31	0.2000000
30	96	0.1973684
31	5	0.1948052
32	70	0.1910828
33	110	0.1948052
34	13	0.1895425
35	83	0.1756757
36	82	0.1690141
37	85	0.1642857
38	23	0.1605839
39	76	0.1603053
	Global minimun!!!
40	4	0.1640625
41	91	0.1666667
42	57	0.1803279
43	79	0.1750000
44	81	0.1694915
45	89	0.1724138
46	14	0.2336449
47	77	0.2358491
48	29	0.2395833
49	51	0.2446809
50	38	0.2696629
51	98	0.2790698
52	60	0.3086420
53	73	0.3552631
54	45	0.3561644
55	121	0.3661972
56	6	0.3823529
57	48	0.3939394
58	8	0.4218750
59	93	0.4500000
60	50	0.4406780
61	2	0.4310345
62	27	0.4629630
63	97	0.5238096
64	39	0.5121951
65	32	0.5250000
66	119	0.6774194
67	44	0.6666667
68	10	0.6190476
69	12	0.6315789
70	88	0.5882353
71	18	0.8000000
72	107	0.7142857
73	26	0.6666667
74	68	0.6666667
75	90	0.5000000
76	124	1.0000000
77	125	1.0000000
Size of Cluster: 2.

run time: 0.17s (17:25:13)
